Title,Address,Lat,Lng,Img_URL,Description,Rank_of_province,Link,Type,PlaceName,GoogleMapsURL
"Takumi-Tei, Sài Gòn","18 Bis Cộng Hòa phường 4, quận Tân Bình, Thành phố Hồ Chí Minh 70000 Việt Nam","108,008,668","1,066,608,508",https://media-cdn.tripadvisor.com/media/photo-s/28/b1/d2/3c/grand-ginza.jpg,"Nhà hàng phục vụ bữa trưa rất ngon, một set rất nhiều món, mỗi món một ít ăn vừa miệng, bài trí đẹp mắt. Không gian kiểu nhật sang trọng minimalist, mùi gỗ nhẹ nhàng thoải mái.",#226 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d24106022-Reviews-Takumi_Tei_Sai_Gon-Ho_Chi_Minh_City.html,Food,"Takumi-Tei, Sài Gòn 18 Bis Cộng Hòa phường 4, quận Tân Bình, Thành phố Hồ Chí Minh 70000 Việt Nam",https://maps.app.goo.gl/nLz48uc3LBYqx7yb7
52/3 Kitchen & Bar,"52/3 Đông Du Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","107,761,032","1,067,047,032",https://media-cdn.tripadvisor.com/media/photo-s/29/66/1f/fd/bird-flying-high.jpg,"Lần đầu tiên bước vào quán, ấn tượng đầu tiên của mình chính là không gian ấm cúng và cực kì chill của quán. Nhân viên quán rất ân cần và thân thiện, ngoài ra âm nhạc cũng mang lại cảm giác như được hòa...Thêm",#228 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d14131531-Reviews-52_3_Kitchen_Bar-Ho_Chi_Minh_City.html,Food,"52/3 Kitchen & Bar 52/3 Đông Du Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",
Quán Bụi Garden,"55 Ngô Quang Huy Thảo Điền, Quận 2, Thành phố Hồ Chí Minh Việt Nam","108,051,922","1,067,356,992",https://media-cdn.tripadvisor.com/media/photo-s/23/f6/38/c0/quan-b-i.jpg,"Quán xinh, địa điểm tốt đồ ăn ngon, nhân viên thân thiện, hỗ trợ nhiệt tình, nhất định sẽ quay lại lần sau",#229 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12387836-Reviews-Quan_Bui_Garden_Restaurant-Ho_Chi_Minh_City.html,Food,"Quán Bụi Garden 55 Ngô Quang Huy Thảo Điền, Quận 2, Thành phố Hồ Chí Minh Việt Nam",https://maps.app.goo.gl/qYszJo2Gs5r64cmX7
Nhà hàng Food Connexion,"148 Trần Hưng Đạo Quận 1, Khách sạn Pullman Sài Gòn Centre, Thành phố Hồ Chí Minh 70000 Việt Nam","107,681,955","1,066,953,783",https://media-cdn.tripadvisor.com/media/photo-s/0d/fc/79/56/sushi.jpg,"tuần trước mình có đến ăn buffet tối của nhà hàng, các bạn nhân viên thân thiệt cực kì. hải sản được refill liên tục nên dù là bày sẵn lên quầy nhưng mà mình thấy không bị khô. không gian nhà hàng ấm cúng...Thêm",#230 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10388545-Reviews-Food_ConneXion_Restaurant-Ho_Chi_Minh_City.html,Food,"Nhà hàng Food Connexion 148 Trần Hưng Đạo Quận 1, Khách sạn Pullman Sài Gòn Centre, Thành phố Hồ Chí Minh 70000 Việt Nam",https://maps.app.goo.gl/rMbWvUjDF4cQt6cYA
The Oasis Saigon Pool & Restaurant,"40/13-15-17-21 Bùi Viện, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam","10,765,742","106,690,757",https://media-cdn.tripadvisor.com/media/photo-s/14/fa/10/43/ta-img-20181008-202621.jpg,"Lần thứ hai quay lại đây, mình vẫn thấy thích đồ ăn ở đây, ngon và vừa miệng. Nhân viên phục vụ cũng khá chu đáo và nhiệt tình, bạn Huy phục vụ rất tốt.",#231 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d9454648-Reviews-The_Oasis_Saigon_Pool_Restaurant-Ho_Chi_Minh_City.html,Food,"The Oasis Saigon Pool & Restaurant 40/13-15-17-21 Bùi Viện, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",https://maps.app.goo.gl/pSGDqZGKBfDBuUHL7
Phở 24,"158D Pasteur, Quận 1, Thành phố Hồ Chí Minh Việt Nam","107,751,104","1,067,006,681",https://media-cdn.tripadvisor.com/media/photo-s/10/1f/0f/53/caption.jpg,"tuy giá hơi cao so với thị trường, nhưng phỏ 24 rất chuyên nghiệp , sạch sẽ , nước dùng nóng với hương vị phở thơm .",#232 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d1008128-Reviews-Pho_24-Ho_Chi_Minh_City.html,Food,"Phở 24 158D Pasteur, Quận 1, Thành phố Hồ Chí Minh Việt Nam",https://maps.app.goo.gl/QnJEq9mvEuVyN7vGA
Spice Garden Saigon,"5H Tôn Đức Thắng Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam","10,780,979","1,067,074,623",https://media-cdn.tripadvisor.com/media/photo-s/18/99/e0/90/84-369758468-5h-ton-duc.jpg,"Không gian dep,thuc an ngon v nhan vien nhiet tinh de thuong.nha hang nam ngay trung tam tp nen cac ban rat de tim ak.se quay lai lan nuaThêm",#234 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17653428-Reviews-Spice_Garden_Saigon-Ho_Chi_Minh_City.html,Food,"Spice Garden Saigon 5H Tôn Đức Thắng Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",
Bếp Cuốn Sài Gòn,"76 Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 70000 Việt Nam","10,781,467","1,066,948,334",https://media-cdn.tripadvisor.com/media/photo-s/28/79/e7/13/best-choice.jpg,Quán có những món ăn rất ngon và đậm đà. Food here is above average due to their focus on sauce and food presentation. Their dishes are full of flavors.,#235 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d25378127-Reviews-B_p_Cu_n_Sai_Gon-Ho_Chi_Minh_City.html,Food,"Bếp Cuốn Sài Gòn 76 Võ Văn Tần, Phường Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 70000 Việt Nam",https://maps.app.goo.gl/72aear72JLX2ryug9
Tê Tê & Phê Quán,"820 Đường Nguyễn Kiệm Phường 3, Quận Gò Vấp, Thành phố Hồ Chí Minh 700000 Việt Nam","10,826,038","1,066,798,208",https://media-cdn.tripadvisor.com/media/photo-s/1a/8a/66/76/we-have-quite-a-selection.jpg,"Bia tươi ..đồ ăn ngon ,quán đi vao dịp cuối tuần đông vui ,có nhiều khuyến mãi ,nhân viên nhiệt tình phục vụ tốt ,nhất định sẽ quay lại",#237 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17722079-Reviews-Te_Te_Phe_Quan-Ho_Chi_Minh_City.html,Food,"Tê Tê & Phê Quán 820 Đường Nguyễn Kiệm Phường 3, Quận Gò Vấp, Thành phố Hồ Chí Minh 700000 Việt Nam",
Bollywood Indian Cuisine,"SA 26-2 sky garden 2, floor 2, Phu My Hung, Dist.7 Pham Van Nghi Street, Thành phố Hồ Chí Minh 401001 Việt Nam",,,https://media-cdn.tripadvisor.com/media/photo-o/13/d1/e0/f9/aloo-gobi-muttter.jpg,Món ăn tuyệt vời! Ấn Độ tốt nhất trên toàn Việt Nam! Các dịch vụ cũng tuyệt vời. Chủ nhà rất tốt bụng và phục vụ bàn.,#236 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d4942249-Reviews-Bollywood_Indian_Cuisine-Ho_Chi_Minh_City.html,Food,"Bollywood Indian Cuisine SA 26-2 sky garden 2, floor 2, Phu My Hung, Dist.7 Pham Van Nghi Street, Thành phố Hồ Chí Minh 401001 Việt Nam",
Taj Mahal Restaurant,"241-265/1 Pham Ngu Lao Quan 1, Thành phố Hồ Chí Minh 70000 Việt Nam","1,082,331","106,681,891",https://media-cdn.tripadvisor.com/media/photo-s/09/ab/ab/6b/photo0jpg.jpg,Món Cari Ấn Độ thơm ngon ăn với bánh mì tạo cho bạn hương vị khó quên. Món cơm chiên với hạt cơm dài cùng nước sốt riêng tạo nên hương thơm ngon vị khác biệt so với bất kỳ món cơm chiên nào bạn...Thêm,#239 trên 3.735 nhà hàng ở Thành phố Hồ Chí Minh,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3148815-Reviews-Taj_Mahal_Restaurant-Ho_Chi_Minh_City.html,Food,"Taj Mahal Restaurant 241-265/1 Pham Ngu Lao Quan 1, Thành phố Hồ Chí Minh 70000 Việt Nam",https://maps.app.goo.gl/6Jm8T3rFzgoqRk3d9
