Title,Address,Lat,Lng,Img_URL,Description,Rank_of_province,Link,Type,PlaceName,GoogleMapsURL
Twelve - Cơm Gà Hải Nam Singapore,"12C2 Đường số 45 Phường 6, Quận 4, Thành phố Hồ Chí Minh 700000 Việt Nam","107,590,253","1,066,996,288",https://media-cdn.tripadvisor.com/media/photo-s/16/05/ec/32/twelve-com-ga-hai-nam.jpg,"Bữa sáng, Bữa trưa, Bữa tối, Bữa nửa buổi, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d15670917-Reviews-Twelve_Com_Ga_Hai_Nam_Singapore-Ho_Chi_Minh_City.html,Food,"Twelve - Cơm Gà Hải Nam Singapore 12C2 Đường số 45 Phường 6, Quận 4, Thành phố Hồ Chí Minh 700000 Việt Nam",
204 Pho Bo,"204 Huyen Nam Dat P4 Q5 off An Dong Vuong St, Thành phố Hồ Chí Minh 70000 Việt Nam","956,127","10,559,476",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3143344-Reviews-204_Pho_Bo-Ho_Chi_Minh_City.html,Food,"204 Pho Bo 204 Huyen Nam Dat P4 Q5 off An Dong Vuong St, Thành phố Hồ Chí Minh 70000 Việt Nam",
Bốc Food & Beer Garden,"100 Ung Văn Khiêm Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh 700000 Việt Nam","108,091,266","1,067,134,702",https://media-cdn.tripadvisor.com/media/photo-s/18/96/c8/4b/getlstd-property-photo.jpg,50.000 ₫ - 400.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17822411-Reviews-Boc_Food_Beer_Garden-Ho_Chi_Minh_City.html,Food,"Bốc Food & Beer Garden 100 Ung Văn Khiêm Phường 25, Bình Thạnh, Thành phố Hồ Chí Minh 700000 Việt Nam",
Sky Times,"123 Vo Van Tan Street, Ward 6, District 3, Thành phố Hồ Chí Minh 70000 Việt Nam","10,781,467","1,066,948,334",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d3836281-Reviews-Sky_Times-Ho_Chi_Minh_City.html,Food,"Sky Times 123 Vo Van Tan Street, Ward 6, District 3, Thành phố Hồ Chí Minh 70000 Việt Nam",
Annie Cookie Store,"06 Le Van Mien, Thao Đien, quan 2, Thành phố Hồ Chí Minh 71107 Việt Nam","108,051,651","1,067,332,036",https://media-cdn.tripadvisor.com/media/photo-s/1c/d7/4e/33/annie-cookie-store-love.jpg,"Bữa sáng, Bữa trưa, Bữa tối",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21332361-Reviews-Annie_Cookie_Store-Ho_Chi_Minh_City.html,Food,"Annie Cookie Store 06 Le Van Mien, Thao Đien, quan 2, Thành phố Hồ Chí Minh 71107 Việt Nam",
Lam Saigon,"12/19 Đào Duy Anh P9, Quận Phú Nhuận, Thành phố Hồ Chí Minh 70000 Việt Nam","10,806,874","106,675,861",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,40.000 ₫ - 70.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d20316181-Reviews-Lam_Saigon-Ho_Chi_Minh_City.html,Food,"Lam Saigon 12/19 Đào Duy Anh P9, Quận Phú Nhuận, Thành phố Hồ Chí Minh 70000 Việt Nam",
Pure Potion Cafe,"PP8, Ba Vì Ward 5, D10, Thành phố Hồ Chí Minh 700000 Việt Nam","107,807,343","106,663,764",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,20.000 ₫ - 38.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d13083818-Reviews-Pure_Potion_Cafe-Ho_Chi_Minh_City.html,Food,"Pure Potion Cafe PP8, Ba Vì Ward 5, D10, Thành phố Hồ Chí Minh 700000 Việt Nam",
Inthe Mood,"151/2 Dong Khoi Level above L'usine Dong, Thành phố Hồ Chí Minh Việt Nam","10,781,971","106,693,081",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,285.714 ₫ - 2.380.952 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d17451345-Reviews-Inthe_Mood-Ho_Chi_Minh_City.html,Food,"Inthe Mood 151/2 Dong Khoi Level above L'usine Dong, Thành phố Hồ Chí Minh Việt Nam",
Thi Quan,"50 46, Vo Van Tan, P6, Q3, Thành phố Hồ Chí Minh 70000 Việt Nam","10,781,971","106,693,081",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,-1,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7139977-Reviews-Thi_Quan-Ho_Chi_Minh_City.html,Food,"Thi Quan 50 46, Vo Van Tan, P6, Q3, Thành phố Hồ Chí Minh 70000 Việt Nam",
Italian House,"65 Xa lộ Hà Nội, Thảo Điền, Q2, Thành phố Hồ Chí Minh 70000 Việt Nam","108,505,606","106,775,403",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,142.857 ₫ - 595.238 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d8845554-Reviews-Italian_House-Ho_Chi_Minh_City.html,Food,"Italian House 65 Xa lộ Hà Nội, Thảo Điền, Q2, Thành phố Hồ Chí Minh 70000 Việt Nam",
